,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,f
202,"frozenset({'sku#_2603068', 'sku#_5617607'})",frozenset({'sku#_2484194'}),0.00011019890903080059,0.015703344536889086,0.00011019890903080059,1.0,63.68070175438596,0.00010846841759470063,inf,0.007017543859649121
251,"frozenset({'sku#_2603068', 'sku#_5617607', 'sku#_740521'})",frozenset({'sku#_2484194'}),0.00011019890903080059,0.015703344536889086,0.00011019890903080059,1.0,63.68070175438596,0.00010846841759470063,inf,0.007017543859649121
1157,"frozenset({'sku#_6221150', 'sku#_4801136', 'sku#_1591136'})",frozenset({'sku#_2140758'}),0.00015102318205844598,0.021596315034357775,0.00015102318205844598,1.0,46.3041958041958,0.00014776163784122062,inf,0.006993006993006992
115,"frozenset({'sku#_1056327', 'sku#_3814815'})",frozenset({'sku#_3774815'}),0.0007097232079489,0.03751394099158471,0.0005069451485349286,0.7142857142857143,19.04054054054054,0.00048032063399157534,3.3687012065294537,0.006894649751792609
354,"frozenset({'sku#_851712', 'sku#_1230703', 'sku#_4370921'})",frozenset({'sku#_6100921'}),0.0001298616972923836,0.018894876956041817,0.0001298616972923836,1.0,52.92439862542955,0.00012740797650074128,inf,0.006872852233676976
932,"frozenset({'sku#_3832818', 'sku#_3110746'})",frozenset({'sku#_3401136'}),0.00022653477308766896,0.03330061164388734,0.00022653477308766896,1.0,30.029478458049883,0.00021899102658524036,inf,0.006802721088435374
1117,"frozenset({'sku#_1922517', 'sku#_5441798', 'sku#_1591136'})",frozenset({'sku#_3401136'}),0.00022653477308766896,0.03330061164388734,0.00022653477308766896,1.0,30.029478458049883,0.00021899102658524036,inf,0.006802721088435374
137,"frozenset({'sku#_1436008', 'sku#_5114891'})",frozenset({'sku#_668224'}),0.00022039781806160118,0.013885062537880875,0.0001652983635462009,0.7500000000000001,54.014880952380956,0.00016223812605920308,3.944459749848478,0.006696428571428573
74,"frozenset({'sku#_6622574', 'sku#_2160070'})",frozenset({'sku#_111089'}),0.00031523366695563086,0.019859721018204744,0.00023642525021672314,0.75,37.764880952380956,0.00023016479753543864,3.920561115927181,0.006696428571428572
1143,"frozenset({'sku#_1922517', 'sku#_5941128', 'sku#_1591136'})",frozenset({'sku#_5441798'}),0.00015102318205844598,0.022653477308766896,0.00015102318205844598,1.0,44.14333333333333,0.0001476019818305872,inf,0.006666666666666666
1352,"frozenset({'sku#_3401136', 'sku#_5941128', 'sku#_1922517', 'sku#_1591136'})",frozenset({'sku#_5441798'}),0.00015102318205844598,0.022653477308766896,0.00015102318205844598,1.0,44.14333333333333,0.0001476019818305872,inf,0.006666666666666666
1310,"frozenset({'sku#_3401136', 'sku#_5941128', 'sku#_1922517'})",frozenset({'sku#_5441798'}),0.00015102318205844598,0.022653477308766896,0.00015102318205844598,1.0,44.14333333333333,0.0001476019818305872,inf,0.006666666666666666
138,"frozenset({'sku#_1922517', 'sku#_1821151'})",frozenset({'sku#_162036'}),0.0005285811372045609,0.02907196254625085,0.0003775579551461149,0.7142857142857142,24.569573283858993,0.00036219106412264924,3.398248131088121,0.006626027034190297
110,"frozenset({'sku#_1897255', 'sku#_3276386'})",frozenset({'sku#_5963700'}),0.00015761683347781543,0.02380014185515013,0.00015761683347781543,1.0,42.01655629139073,0.00015386553048228385,inf,0.006622516556291391
147,"frozenset({'sku#_4264208', 'sku#_2494717'})",frozenset({'sku#_1002115'}),0.0001072271070126528,0.0162449067124169,0.0001072271070126528,1.0,61.557755775577554,0.00010548521266218991,inf,0.006600660066006601
267,"frozenset({'sku#_1117573', 'sku#_5314891', 'sku#_5186036'})",frozenset({'sku#_6517635'}),0.00011019890903080059,0.01669513471816629,0.00011019890903080059,1.0,59.897689768976896,0.00010835912339873642,inf,0.0066006600660066
234,"frozenset({'sku#_5314891', 'sku#_5186036'})",frozenset({'sku#_6517635'}),0.00011019890903080059,0.01669513471816629,0.00011019890903080059,1.0,59.897689768976896,0.00010835912339873642,inf,0.0066006600660066
136,"frozenset({'sku#_668224', 'sku#_5114891'})",frozenset({'sku#_1436008'}),0.00022039781806160118,0.014105460355942475,0.0001652983635462009,0.7500000000000001,53.170898437500014,0.00016218955086099677,3.9435781585762317,0.006591796875000003
144,"frozenset({'sku#_6023403', 'sku#_668224'})",frozenset({'sku#_4984891'}),0.00011019890903080059,0.01675023417268169,0.00011019890903080059,1.0,59.70065789473684,0.00010835305149896064,inf,0.006578947368421052
50,"frozenset({'sku#_3984738', 'sku#_3097501'})",frozenset({'sku#_4874536'}),0.0002047711682195147,0.031329988737585746,0.0002047711682195147,1.0,31.918300653594773,0.00019835568982541502,inf,0.006535947712418302
